Age,Year,Total Population,Average Wage,Record Count,share
19,2022,365,50666.90685,15,0.000157445
20,2022,1866,33197.57985,63,0.000804909
21,2022,7318,34887.09757,300,0.003156659
22,2022,29185,40998.59027,1212,0.012589107
23,2022,50092,54696.36561,2046,0.021607455
24,2022,55196,65709.06006,2254,0.023809092
25,2022,64404,80414.41923,2593,0.027781013
26,2022,66421,82594.68213,2647,0.028651057
27,2022,64388,87472.98223,2584,0.027774111
28,2022,65252,92680.19503,2601,0.028146802
29,2022,63929,96973.26348,2634,0.027576119
30,2022,64018,101224.141,2708,0.02761451
31,2022,62204,110098.788,2623,0.026832031
32,2022,65181,109173.679,2700,0.028116176
33,2022,64595,111972.7158,2760,0.027863402
34,2022,63171,120077.6425,2704,0.027249152
35,2022,70270,121493.2041,3018,0.030311344
36,2022,71256,127184.6122,3061,0.03073666
37,2022,73231,131531.9093,3293,0.031588587
38,2022,74486,130003.7866,3234,0.032129938
39,2022,76506,138250.2638,3325,0.033001276
40,2022,76032,135054.3323,3366,0.032796813
41,2022,71394,138546.798,3204,0.030796187
42,2022,65438,137997.8016,2981,0.028227034
43,2022,65624,141956.1805,2821,0.028307267
44,2022,60262,139301.6679,2676,0.025994339
45,2022,56818,144052.4112,2583,0.024508751
46,2022,52564,143658.0555,2419,0.022673765
47,2022,51952,141853.9668,2380,0.022409776
48,2022,51235,139430.2666,2347,0.022100494
49,2022,49527,139614.8484,2318,0.021363739
50,2022,48544,133946.6406,2309,0.020939716
51,2022,46917,136971.8203,2231,0.020237901
52,2022,43538,135693.0987,2150,0.018780351
53,2022,43073,140894.2634,2226,0.018579771
54,2022,46371,135538.4679,2262,0.020002381
55,2022,47381,140511.4434,2347,0.02043805
56,2022,42169,140199.6153,2134,0.018189826
57,2022,39546,132117.1243,2070,0.017058381
58,2022,35779,132916.6395,1981,0.015433465
59,2022,33137,130326.8631,1767,0.014293824
60,2022,26505,127146.0497,1476,0.011433075
61,2022,25121,116246.2712,1342,0.010836079
62,2022,19270,115074.1109,1058,0.008312218
63,2022,15685,113100.9287,880,0.006765809
64,2022,12968,115629.4008,710,0.005593817
65,2022,8896,108383.175,539,0.003837338
66,2022,6268,94249.29834,374,0.002703736
67,2022,6153,102364.7011,325,0.00265413
68,2022,4284,99447.28945,243,0.001847927
69,2022,3189,96947.20539,189,0.001375592
70,2022,2243,86650.0379,132,0.00096753
71,2022,1572,106275.7074,96,0.000678091
72,2022,1494,61969.89157,87,0.000644445
73,2022,1301,69936.60031,69,0.000561193
74,2022,796,72979.63819,43,0.000343359
75,2022,582,107051.4691,37,0.000251049
76,2022,359,72977.87744,27,0.000154857
77,2022,256,46690.95313,19,0.000110427
79,2022,296,154098.5405,15,0.000127681
80,2022,64,18876.26563,6,2.76067E-05
81,2022,204,26016.52941,10,8.79965E-05
82,2022,79,17425.32911,5,3.40771E-05
83,2022,54,20472.24074,5,2.32932E-05
19,2021,398,39967.32412,17,0.000180491
20,2021,1719,32774.89005,58,0.000779557
21,2021,5822,32453.64136,264,0.002640244
22,2021,24474,35686.57657,1034,0.011098821
23,2021,42486,50502.64612,1834,0.019267162
24,2021,47872,60189.87385,2001,0.021709683
25,2021,59355,72135.39759,2340,0.026917159
26,2021,59284,74132.81757,2350,0.026884961
27,2021,59841,77473.2321,2386,0.027137557
28,2021,62518,82892.52719,2449,0.028351562
29,2021,59858,89167.83351,2485,0.027145266
30,2021,61629,91818.72383,2526,0.027948405
31,2021,59931,98194.49582,2491,0.027178372
32,2021,63736,99431.38499,2594,0.028903918
33,2021,61951,102355.3986,2665,0.02809443
34,2021,65975,109468.0658,2784,0.029919292
35,2021,72427,110639.3625,3088,0.032845237
36,2021,72200,115331.1853,3098,0.032742294
37,2021,72728,119542.9434,3246,0.032981739
38,2021,73356,118463.9499,3180,0.033266534
39,2021,73848,124338.7644,3174,0.033489653
40,2021,70962,121418.6217,3132,0.032180868
41,2021,66330,124641.9609,2918,0.030080282
42,2021,60141,125541.9968,2702,0.027273605
43,2021,60578,131335.3931,2634,0.027471782
44,2021,54102,127535.3356,2424,0.024534953
45,2021,54265,128835.8212,2430,0.024608872
46,2021,50044,131287.8512,2293,0.022694673
47,2021,49587,128717.5801,2260,0.022487426
48,2021,51426,126061.1909,2342,0.023321402
49,2021,47529,126682.0719,2204,0.021554134
50,2021,46186,123357.7457,2177,0.020945091
51,2021,45268,124451.5515,2157,0.020528784
52,2021,42463,125463.6325,2065,0.019256732
53,2021,44352,129374.5736,2248,0.020113383
54,2021,48909,125960.0112,2357,0.022179957
55,2021,48035,132362.9727,2369,0.021783602
56,2021,41560,128683.4195,2099,0.018847226
57,2021,39294,121415.9018,1991,0.017819608
58,2021,31983,124113.2519,1739,0.014504111
59,2021,29337,119656.9759,1505,0.013304165
60,2021,23574,119640.9581,1260,0.010690676
61,2021,22074,107257.2432,1159,0.010010435
62,2021,16975,105058.5828,887,0.007698067
63,2021,13644,103346.9521,750,0.006187477
64,2021,11727,109089.9215,625,0.005318129
65,2021,7739,104013.1365,458,0.003509593
66,2021,5724,92050.04437,326,0.002595802
67,2021,5462,98758.80868,279,0.002476986
68,2021,3857,98525.13767,205,0.001749128
69,2021,2875,90537.31513,167,0.001303796
70,2021,2018,77646.66551,117,0.000915152
71,2021,1419,88147.94292,82,0.000643509
72,2021,1031,61723.52279,68,0.000467553
73,2021,1101,66807.44505,60,0.000499297
74,2021,647,60526.12365,32,0.000293411
75,2021,542,73757.28229,34,0.000245794
76,2021,275,53872.10909,20,0.000124711
77,2021,208,45999.16827,16,9.43268E-05
78,2021,107,59088.8972,6,4.85239E-05
79,2021,125,50243.128,13,5.66868E-05
80,2021,94,20432.61702,8,4.26285E-05
81,2021,122,33461.7377,7,5.53263E-05
19,2020,378,33274.49735,18,0.000182125
20,2020,1355,32880.01771,40,0.000652857
21,2020,5563,32619.1776,240,0.002680328
22,2020,22208,31745.9534,948,0.010700114
23,2020,37345,47999.4414,1625,0.017993324
24,2020,43062,55434.99577,1804,0.020747852
25,2020,56363,67156.08694,2131,0.027156453
26,2020,56515,69246.08295,2188,0.027229688
27,2020,56257,72155.45815,2216,0.02710538
28,2020,59242,77113.45144,2263,0.028543594
29,2020,57926,81421.4431,2423,0.027909527
30,2020,58145,86093.60776,2358,0.028015044
31,2020,57183,91774.46068,2381,0.02755154
32,2020,61990,92476.18534,2545,0.029867617
33,2020,61369,96511.18161,2668,0.029568411
34,2020,67094,103010.0076,2825,0.032326793
35,2020,74023,103093.4325,3143,0.035665278
36,2020,71383,108810.1881,3128,0.034393291
37,2020,70340,111617.4771,3168,0.033890759
38,2020,68789,112081.5952,3016,0.033143467
39,2020,69377,113982.7881,3004,0.033426773
40,2020,64216,113691.7321,2879,0.030940134
41,2020,59529,117098.9878,2662,0.028681874
42,2020,55361,118009.0184,2454,0.026673675
43,2020,53349,120532.9525,2401,0.025704267
44,2020,49022,121076.0464,2220,0.02361946
45,2020,50052,118005.8575,2294,0.024115728
46,2020,47043,123001.4853,2190,0.022665951
47,2020,46244,119736.1201,2143,0.022280982
48,2020,49456,119301.8884,2302,0.023828567
49,2020,46262,119142.7879,2136,0.022289655
50,2020,43829,117050.1009,2130,0.021117403
51,2020,43296,118017.8611,2130,0.020860596
52,2020,42520,120253.7667,2145,0.020486709
53,2020,45914,121894.3196,2336,0.022121984
54,2020,47249,118032.778,2396,0.022765205
55,2020,46522,125437.416,2332,0.022414926
56,2020,38222,120534.9949,1944,0.018415874
57,2020,34099,115107.791,1766,0.016429357
58,2020,27753,117144.5237,1530,0.013371769
59,2020,25682,111986.2654,1331,0.012373934
60,2020,20400,112091.3731,1097,0.009828995
61,2020,18454,102215.0358,1010,0.008891386
62,2020,14430,100566.1896,750,0.006952568
63,2020,11564,97535.06598,649,0.005571691
64,2020,10496,106242.0776,551,0.005057114
65,2020,6780,97422.7646,394,0.003266695
66,2020,5032,82592.17925,279,0.002424485
67,2020,5168,95793.17144,248,0.002490012
68,2020,3185,98058.25338,178,0.001534576
69,2020,2426,77577.80503,136,0.001168879
70,2020,1577,75573.60621,97,0.00075982
71,2020,1258,84977.55644,74,0.000606121
72,2020,672,45569.04613,47,0.000323779
73,2020,743,58318.60296,42,0.000357987
74,2020,440,60261.01364,25,0.000211998
75,2020,445,63188.92809,26,0.000214407
76,2020,256,52089.33594,17,0.000123344
77,2020,293,51425.35495,19,0.000141171
78,2020,114,55764.11404,6,5.49267E-05
79,2020,147,55878.60544,13,7.08266E-05
80,2020,85,15476.21176,6,4.09541E-05
19,2019,307,42058.0456,18,0.000155356
20,2019,1003,38529.38584,38,0.000507564
21,2019,4531,29477.18804,210,0.002292892
22,2019,20127,30251.91489,885,0.010185177
23,2019,33449,45578.49924,1496,0.016926715
24,2019,39189,53401.63584,1724,0.019831416
25,2019,52041,63004.82518,2050,0.026335112
26,2019,51211,64327.94622,2110,0.025915095
27,2019,52934,69466.54664,2171,0.026787011
28,2019,53924,73643.32911,2229,0.027287996
29,2019,54021,79601.62392,2346,0.027337082
30,2019,58182,80586.81285,2399,0.029442738
31,2019,56593,87991.02972,2421,0.028638631
32,2019,61462,88790.11495,2651,0.031102567
33,2019,62482,94308.90461,2863,0.031618733
34,2019,67770,97906.59147,2995,0.034294702
35,2019,74628,100427.6514,3255,0.037765162
36,2019,70568,104718.1771,3204,0.035710617
37,2019,68611,108984.9298,3155,0.034720286
38,2019,64402,109617.2096,2970,0.032590341
39,2019,64345,110524.8516,2929,0.032561496
40,2019,60871,113086.7494,2800,0.030803494
41,2019,55132,114934.0938,2544,0.027899299
42,2019,50997,111578.749,2353,0.025806801
43,2019,49452,118126.9529,2384,0.025024961
44,2019,47110,118734.3024,2222,0.023839802
45,2019,48351,115143.4051,2321,0.024467805
46,2019,46336,117308.3803,2216,0.023448123
47,2019,43591,118191.5719,2135,0.022059028
48,2019,46935,116509.3676,2295,0.023751244
49,2019,43349,114421.7902,2163,0.021936565
50,2019,45879,114474.1549,2281,0.02321686
51,2019,43673,115676.5114,2262,0.022100524
52,2019,43456,117207.6834,2309,0.021990712
53,2019,45729,118170.7193,2415,0.023140953
54,2019,46311,116923.4641,2449,0.023435472
55,2019,43559,117530.0833,2291,0.022042835
56,2019,33934,116124.4224,1844,0.017172147
57,2019,29663,112203.8339,1610,0.015010827
58,2019,25963,113632.2926,1425,0.013138459
59,2019,22417,111472.7161,1240,0.011344021
60,2019,18878,109910.3269,1029,0.009553126
61,2019,15701,106120.7298,912,0.00794542
62,2019,12799,101315.7437,696,0.006476876
63,2019,10139,101870.7511,572,0.005130795
64,2019,9252,99625.51016,513,0.004681933
65,2019,6131,93289.75502,362,0.003102565
66,2019,4365,93175.99198,262,0.002208888
67,2019,4008,95156.51048,225,0.00202823
68,2019,2736,91681.66338,156,0.00138454
69,2019,2159,79632.07781,116,0.001092552
70,2019,1361,73103.59809,85,0.000688728
71,2019,1222,82535.86661,72,0.000618388
72,2019,586,68301.77816,38,0.000296543
73,2019,636,50864.9827,33,0.000321845
74,2019,417,49629.14628,25,0.000211021
75,2019,344,61091.7093,18,0.00017408
76,2019,252,57100.80952,14,0.000127523
77,2019,253,54383.54941,16,0.00012803
78,2019,124,68151.56452,7,6.27496E-05
79,2019,170,37482.44706,10,8.60277E-05
80,2019,86,15634.55814,7,4.35199E-05
19,2018,228,23943.38596,16,0.000121964
20,2018,691,26873.20984,30,0.000369638
21,2018,4019,28048.19905,174,0.002149891
22,2018,18434,29771.9942,791,0.009860934
23,2018,28982,42405.66524,1301,0.015503395
24,2018,36133,49405.4869,1557,0.019328693
25,2018,46068,59003.92348,1847,0.024643241
26,2018,46321,60255.40008,1912,0.024778578
27,2018,48864,65685.89819,2010,0.02613891
28,2018,50779,69835.0181,2103,0.027163305
29,2018,50156,75313.61819,2162,0.026830042
30,2018,58219,78375.97245,2347,0.031143198
31,2018,56878,82936.75214,2432,0.030425854
32,2018,63119,86299.28983,2764,0.033764364
33,2018,62388,91830.93008,2885,0.033373328
34,2018,65470,92543.05818,2911,0.035021988
35,2018,73584,96327.61187,3179,0.039362425
36,2018,67785,101142.1621,3081,0.036260356
37,2018,64123,105029.6611,2919,0.034301435
38,2018,59363,105578.0512,2754,0.03175516
39,2018,58974,106576.7547,2649,0.031547071
40,2018,55730,107577.6931,2533,0.029811752
41,2018,51406,109838.372,2346,0.027498707
42,2018,47947,110620.8758,2208,0.025648378
43,2018,47612,112816.5632,2280,0.025469175
44,2018,44655,113438.6365,2122,0.023887382
45,2018,45853,111503.4521,2228,0.02452823
46,2018,45370,113817.1418,2187,0.024269858
47,2018,42156,114327.4467,2059,0.022550587
48,2018,45616,113914.1276,2245,0.024401451
49,2018,42827,111367.4924,2110,0.022909526
50,2018,47095,112506.1548,2344,0.025192616
51,2018,44499,112564.5417,2324,0.023803932
52,2018,44365,113810.5382,2358,0.023732252
53,2018,45133,116226.0637,2357,0.024143079
54,2018,42388,114542.5202,2264,0.022674691
55,2018,39789,114223.358,2074,0.021284403
56,2018,29396,113291.7526,1620,0.015724857
57,2018,26037,106643.8226,1408,0.013928021
58,2018,22300,110018.7919,1215,0.01192898
59,2018,19280,108153.8065,1060,0.010313486
60,2018,16916,105571.3443,897,0.009048907
61,2018,13459,103785.5708,760,0.007199648
62,2018,10980,97942.22914,588,0.005873552
63,2018,9146,95243.34408,509,0.004892487
64,2018,7635,98474.13084,416,0.004084205
65,2018,5401,89282.47639,322,0.002889167
66,2018,4120,90484.81019,232,0.002203919
67,2018,3435,85481.00437,187,0.001837491
68,2018,2146,99055.83178,123,0.001147964
69,2018,1695,77433.0531,92,0.000906709
70,2018,1116,71522.76703,70,0.000596984
71,2018,1134,72943.79982,64,0.000606613
72,2018,303,81897.13531,26,0.000162084
73,2018,468,51665.07051,27,0.000250348
74,2018,351,38730.54416,21,0.000187761
75,2018,299,59190.77592,15,0.000159945
76,2018,236,53504.99153,12,0.000126244
77,2018,203,48983.59606,12,0.000108591
78,2018,114,102011.0965,7,6.09822E-05
79,2018,138,31157.98551,7,7.38206E-05
80,2018,70,12901.65714,6,3.74452E-05
19,2017,174,27793.3046,12,9.81351E-05
20,2017,836,30154.57177,32,0.0004715
21,2017,3686,24926.66576,152,0.002078885
22,2017,15816,27299.88025,694,0.008920142
23,2017,27221,40564.26402,1191,0.015352502
24,2017,32601,48224.19131,1401,0.018386794
25,2017,41730,55939.44057,1677,0.023535503
26,2017,42598,58103.20423,1757,0.02402505
27,2017,44890,63029.16739,1870,0.025317726
28,2017,49446,65550.42972,2065,0.027887287
29,2017,49451,73218.4611,2144,0.027890107
30,2017,58109,75391.56241,2339,0.032773174
31,2017,57432,80223.99596,2507,0.032391349
32,2017,62281,83303.43874,2792,0.03512616
33,2017,63230,86682.77761,2897,0.035661391
34,2017,63588,88312.09113,2851,0.035863301
35,2017,70460,94620.11337,3046,0.039739073
36,2017,63489,96609.09151,2864,0.035807466
37,2017,59112,99951.75059,2663,0.03333886
38,2017,53918,100925.104,2515,0.030409472
39,2017,54564,100676.1418,2448,0.030773812
40,2017,50850,101904.4707,2308,0.028679135
41,2017,49648,104943.5015,2248,0.028001214
42,2017,45198,105160.6339,2079,0.025491437
43,2017,44553,108611.5492,2158,0.02512766
44,2017,43281,108890.7464,2064,0.024410259
45,2017,44206,106219.3503,2172,0.024931954
46,2017,44310,108846.1762,2107,0.024990609
47,2017,40781,109520.3384,2000,0.023000272
48,2017,45101,109810.1153,2235,0.025436729
49,2017,43343,106877.3924,2170,0.024445227
50,2017,47376,109316.1489,2413,0.026719818
51,2017,44507,108957.2903,2328,0.025101716
52,2017,43634,111247.7747,2318,0.024609349
53,2017,42973,111115.7125,2222,0.024236548
54,2017,38543,109835.4387,2080,0.021738051
55,2017,35136,110943.0146,1823,0.019816521
56,2017,25615,110308.0196,1406,0.014446727
57,2017,23192,101467.1189,1259,0.013080167
58,2017,19964,106682.5318,1074,0.011259592
59,2017,16558,103255.9799,915,0.009338626
60,2017,15018,103873.0941,793,0.008470074
61,2017,11621,101137.9611,666,0.006554184
62,2017,9797,93618.29376,526,0.005525457
63,2017,8261,91625.90352,453,0.004659161
64,2017,6466,92977.79493,356,0.00364679
65,2017,4978,81592.1591,281,0.002807566
66,2017,3727,95075.55219,203,0.002102009
67,2017,2813,76416.77497,153,0.001586517
68,2017,1723,102221.2861,100,0.000971763
69,2017,1449,78328.64458,72,0.000817228
70,2017,957,69305.48171,62,0.000539743
71,2017,966,67583.59006,55,0.000544819
72,2017,214,96502.26636,20,0.000120695
73,2017,450,52127.27556,24,0.000253798
74,2017,205,48242.22927,13,0.000115619
75,2017,254,36605.8622,12,0.000143255
76,2017,177,73715.35593,11,9.98271E-05
77,2017,218,41277.02752,10,0.000122951
78,2017,174,115269.0115,9,9.81351E-05
79,2017,134,31403.89552,7,7.55753E-05
80,2017,63,13045.09524,5,3.55317E-05
19,2016,129,36930.74419,9,7.70517E-05
20,2016,835,29408.98563,32,0.000498746
21,2016,3576,23193.66834,143,0.002135946
22,2016,14084,26143.61737,627,0.008412376
23,2016,24172,38810.6376,1031,0.014437941
24,2016,31829,45997.21779,1316,0.019011468
25,2016,37912,52838.13186,1516,0.022644845
26,2016,39157,56810.48101,1613,0.023388484
27,2016,40922,60868.88021,1682,0.024442719
28,2016,45479,63757.45898,1935,0.027164616
29,2016,48838,68896.05571,2095,0.029170947
30,2016,57379,71956.46629,2338,0.034272488
31,2016,58252,78177.5405,2511,0.034793931
32,2016,61910,79654.04043,2771,0.036978856
33,2016,62780,83530.28861,2798,0.037498507
34,2016,60006,84188.97604,2700,0.035841596
35,2016,66015,90704.10505,2818,0.039430773
36,2016,59442,92649.62974,2647,0.035504719
37,2016,54221,96928.29005,2403,0.032386214
38,2016,48849,97158.73688,2275,0.029177518
39,2016,50461,97338.28366,2236,0.030140366
40,2016,48500,97720.62901,2154,0.02896906
41,2016,46516,102279.8445,2120,0.027784016
42,2016,43654,101682.5493,2010,0.026074543
43,2016,43519,103451.7505,2067,0.025993908
44,2016,41395,105447.9822,1987,0.024725242
45,2016,41334,102750.1955,2057,0.024688807
46,2016,42450,103690.5239,2010,0.025355394
47,2016,41516,106813.3424,2014,0.024797515
48,2016,44903,107209.0534,2243,0.026820571
49,2016,44136,105206.4821,2223,0.026362442
50,2016,47671,105302.7131,2439,0.028473898
51,2016,42998,105197.1164,2250,0.025682714
52,2016,42109,107557.3528,2224,0.025151714
53,2016,38390,106342.8012,1991,0.022930355
54,2016,33260,103596.7338,1815,0.019866205
55,2016,30833,103805.0987,1593,0.018416557
56,2016,22333,104359.8425,1215,0.013339505
57,2016,19280,96753.91489,1056,0.011515948
58,2016,18235,101646.5941,958,0.010891769
59,2016,14434,99419.60946,796,0.008621431
60,2016,13257,95065.60843,702,0.007918409
61,2016,9915,96130.04518,563,0.005922232
62,2016,8360,85741.73577,448,0.00499343
63,2016,7456,89053.70252,401,0.00445347
64,2016,5594,82938.91902,306,0.003341297
65,2016,4457,75718.07741,246,0.002662167
66,2016,3239,89892.85798,182,0.001934655
67,2016,2605,72020.51017,135,0.001555967
68,2016,1311,91645.3135,81,0.000783061
69,2016,1141,72857.1411,51,0.00068152
70,2016,768,66294.86849,48,0.000458727
71,2016,713,72661.63254,43,0.000425875
72,2016,251,88910.89641,20,0.000149922
73,2016,466,42506.13734,24,0.000278342
74,2016,176,62654.96023,12,0.000105125
75,2016,165,49512.43636,7,9.85545E-05
76,2016,140,68686.12143,9,8.3622E-05
77,2016,217,40240.26267,10,0.000129614
78,2016,160,110988.8125,8,9.5568E-05
79,2016,95,34775.83158,5,5.67435E-05
19,2015,90,41493.31111,7,5.67136E-05
20,2015,920,32874.20543,33,0.000579739
21,2015,3019,19793.89202,121,0.001902426
22,2015,12908,26132.64286,549,0.00813399
23,2015,21383,37424.76327,921,0.013474521
24,2015,28875,44422.51785,1207,0.018195613
25,2015,34410,49325.08718,1363,0.021683499
26,2015,35547,54670.16764,1447,0.022399981
27,2015,39750,58247.56428,1604,0.025048506
28,2015,45764,62628.40613,1917,0.028838235
29,2015,48450,67620.61488,2026,0.03053082
30,2015,58911,69884.60108,2362,0.037122831
31,2015,57724,74747.28304,2449,0.036374842
32,2015,62134,77497.10796,2707,0.039153808
33,2015,60226,80800.29911,2656,0.03795148
34,2015,56084,81238.41144,2482,0.035341394
35,2015,60987,89718.22995,2551,0.038431025
36,2015,54100,89342.21845,2346,0.034091174
37,2015,50042,94180.5668,2176,0.031534021
38,2015,44605,93726.10488,2062,0.028107889
39,2015,44395,93142.03514,1959,0.027975558
40,2015,46689,95582.1443,2052,0.029421124
41,2015,46447,98419.26327,2042,0.029268628
42,2015,42526,99444.64525,1887,0.026797805
43,2015,42748,99881.67531,1968,0.026937699
44,2015,40135,102264.1447,1905,0.025291114
45,2015,40518,102008.1457,1981,0.025532462
46,2015,40981,103074.0947,1948,0.025824222
47,2015,43852,104674.9608,2077,0.027633386
48,2015,45098,104846.132,2205,0.028418554
49,2015,44255,103088.6981,2229,0.027887337
50,2015,47962,103244.6121,2397,0.030223307
51,2015,40273,103916.9131,2104,0.025378075
52,2015,38209,105385.3237,1992,0.024077443
53,2015,33468,103432.5854,1740,0.021089897
54,2015,28646,100491.0957,1529,0.018051308
55,2015,25846,99442.15016,1361,0.016286885
56,2015,20271,102523.359,1074,0.012773793
57,2015,17366,92455.69181,932,0.010943204
58,2015,16234,98814.26574,836,0.010229873
59,2015,12052,95743.97785,657,0.007594581
60,2015,12214,91995.7245,630,0.007696665
61,2015,8795,93392.59215,479,0.005542179
62,2015,7622,81811.41052,405,0.004803012
63,2015,6373,88382.07014,343,0.004015953
64,2015,5088,75470.20696,266,0.003206209
65,2015,3749,80163.20752,203,0.002362436
66,2015,2920,84166.24589,155,0.001840041
67,2015,1705,76875.02463,91,0.001074408
68,2015,1311,98744.38673,69,0.000826128
69,2015,719,68737.879,41,0.000453079
70,2015,556,49180.86331,34,0.000350364
71,2015,590,66296.76271,40,0.000371789
72,2015,257,77758.39689,19,0.000161949
73,2015,462,33631.70346,26,0.00029113
74,2015,145,69389.26207,10,9.13719E-05
75,2015,111,55835.23423,5,6.99468E-05
76,2015,73,88679.46575,6,4.6001E-05
77,2015,164,27942.96341,7,0.000103345
78,2015,167,104233.1078,9,0.000105235
20,2014,780,26717.82308,29,0.000520879
21,2014,2812,16394.71017,117,0.001877836
22,2014,11080,26057.37554,481,0.007399156
23,2014,19364,36077.86847,859,0.012931161
24,2014,25721,43082.52937,1100,0.017176327
25,2014,30948,48981.2078,1243,0.020666886
26,2014,34346,54602.59332,1398,0.022936049
27,2014,40247,56377.76393,1627,0.026876701
28,2014,46852,63370.56958,1948,0.03128748
29,2014,49668,67209.52148,2091,0.033167988
30,2014,57702,68971.90912,2363,0.038533044
31,2014,57408,73199.06071,2442,0.038336712
32,2014,59867,76974.6712,2577,0.039978818
33,2014,55561,79710.13527,2472,0.037103297
34,2014,53012,79615.86565,2298,0.03540109
35,2014,55396,90164.13066,2334,0.036993111
36,2014,49894,89357.33064,2176,0.033318909
37,2014,45634,92015.14846,2034,0.030474107
38,2014,40866,92521.00996,1899,0.027290066
39,2014,41474,92531.37645,1872,0.027696084
40,2014,44906,94512.26221,1993,0.029987953
41,2014,44704,95013.27599,1999,0.029853059
42,2014,41807,97801.62667,1865,0.02791846
43,2014,41104,99417.50036,1925,0.027449001
44,2014,38351,101179.3044,1833,0.025610564
45,2014,40544,103271.2839,2015,0.027075036
46,2014,41248,101879.6695,2007,0.027545163
47,2014,44023,104312.6277,2145,0.029398291
48,2014,44219,104322.8086,2190,0.029529179
49,2014,42644,101951.2809,2150,0.028477403
50,2014,43803,104069.3915,2200,0.029251376
51,2014,37066,104561.7435,1927,0.024752449
52,2014,33479,103843.5923,1741,0.022357072
53,2014,29131,103404.9581,1488,0.019453504
54,2014,25400,98512.33539,1330,0.016961965
55,2014,22389,95869.80035,1193,0.014951238
56,2014,17958,102086.0864,948,0.011992243
57,2014,15952,92809.6722,854,0.010652648
58,2014,13545,97634.38634,710,0.009045268
59,2014,10872,91989.56806,588,0.007260255
60,2014,10771,91844.55687,567,0.007192808
61,2014,8169,90398.98311,422,0.005455208
62,2014,6627,78643.35476,356,0.00442547
63,2014,5542,86063.33003,306,0.003700914
64,2014,4047,69245.24561,207,0.002702562
65,2014,3181,81177.50676,168,0.002124252
66,2014,2340,72822.07265,122,0.001562638
67,2014,1268,82248.09779,70,0.000846763
68,2014,1094,127291.0494,56,0.000730567
69,2014,669,64696.69806,38,0.000446754
70,2014,422,44873.25355,26,0.000281809
71,2014,390,62780.64359,28,0.00026044
72,2014,217,39229.4424,14,0.000144911
73,2014,364,36476.77747,21,0.000243077
74,2014,109,101613.1284,7,7.27895E-05
76,2014,153,31751.24183,5,0.000102172
77,2014,162,64583.51235,7,0.000108183
78,2014,166,86978.14458,9,0.000110854
