Year,State,Average Wage,Latitude,Longitude
2022,Alabama,17382.86391,32.806671,-86.79113
2022,Alaska,25929.07764,61.370716,-152.404419
2022,Arizona,22401.20492,33.729759,-111.431221
2022,Arkansas,18038.00693,34.969704,-92.373123
2022,California,26873.12123,36.116203,-119.681564
2022,Colorado,24044.39866,39.059811,-105.311104
2022,Connecticut,28816.38816,41.597782,-72.755371
2022,Delaware,21798.50428,39.318523,-75.507141
2022,District of Columbia,30141.13857,38.907192,-77.036871
2022,Florida,22996.92743,27.766279,-81.686783
2022,Georgia,20341.97631,33.040619,-83.643074
2022,Hawaii,32649.78651,21.094318,-157.498337
2022,Idaho,18025.77362,44.240459,-114.478828
2022,Illinois,21133.00203,40.349457,-88.986137
2022,Indiana,17517.72844,39.849426,-86.258278
2022,Iowa,19368.5241,42.011539,-93.210526
2022,Kansas,19440.143,38.5266,-96.726486
2022,Kentucky,17724.98122,37.66814,-84.670067
2022,Louisiana,19680.61148,31.169546,-91.867805
2022,Maine,23051.69378,44.693947,-69.381927
2022,Maryland,23925.87902,39.063946,-76.802101
2022,Massachusetts,28838.57124,42.230171,-71.530106
2022,Michigan,18997.04134,43.326618,-84.536095
2022,Minnesota,21445.3068,45.694454,-93.900192
2022,Mississippi,17325.51344,32.741646,-89.678696
2022,Missouri,19347.49684,38.456085,-92.288368
2022,Montana,21049.88433,46.921925,-110.454353
2022,Nebraska,20587.01882,41.12537,-98.268082
2022,Nevada,28577.60858,38.313515,-117.055374
2022,New Hampshire,26701.09491,43.452492,-71.563896
2022,New Jersey,26925.58611,40.298904,-74.521011
2022,New Mexico,18295.56884,34.840515,-106.248482
2022,New York,27863.39493,42.165726,-74.948051
2022,North Carolina,19407.10355,35.630066,-79.806419
2022,North Dakota,22092.70662,47.528912,-99.784012
2022,Ohio,18692.74536,40.388783,-82.764915
2022,Oklahoma,18078.91825,35.565342,-96.928917
2022,Oregon,23445.70651,44.572021,-122.070938
2022,Pennsylvania,20909.86309,40.590752,-77.209755
2022,Rhode Island,27399.18452,41.680893,-71.51178
2022,South Carolina,20389.62673,33.856892,-80.945007
2022,South Dakota,18546.34935,44.299782,-99.438828
2022,Tennessee,19356.01311,35.747845,-86.692345
2022,Texas,20847.71741,31.054487,-97.563461
2022,Utah,20307.10951,40.150032,-111.862434
2022,Vermont,21185.92535,44.045876,-72.710686
2022,Virginia,21146.24884,37.769337,-78.169968
2022,Washington,26947.90236,47.400902,-121.490494
2022,West Virginia,18858.88104,38.491226,-80.954454
2022,Wisconsin,20282.07218,44.268543,-89.616508
2022,Wyoming,21054.70224,42.755966,-107.30249
2022,Puerto Rico,15205.08513,18.220833,-66.590149
2021,Alabama,16117.66276,32.806671,-86.79113
2021,Alaska,24380.43648,61.370716,-152.404419
2021,Arizona,20084.2082,33.729759,-111.431221
2021,Arkansas,16163.12583,34.969704,-92.373123
2021,California,24726.82464,36.116203,-119.681564
2021,Colorado,22038.63257,39.059811,-105.311104
2021,Connecticut,27599.20186,41.597782,-72.755371
2021,Delaware,19015.26426,39.318523,-75.507141
2021,District of Columbia,27561.41126,38.907192,-77.036871
2021,Florida,21127.79608,27.766279,-81.686783
2021,Georgia,18300.65008,33.040619,-83.643074
2021,Hawaii,30154.37747,21.094318,-157.498337
2021,Idaho,16769.57134,44.240459,-114.478828
2021,Illinois,19917.96743,40.349457,-88.986137
2021,Indiana,15884.75446,39.849426,-86.258278
2021,Iowa,17966.49778,42.011539,-93.210526
2021,Kansas,18441.70333,38.5266,-96.726486
2021,Kentucky,16873.16365,37.66814,-84.670067
2021,Louisiana,18376.28941,31.169546,-91.867805
2021,Maine,20314.96977,44.693947,-69.381927
2021,Maryland,22437.27383,39.063946,-76.802101
2021,Massachusetts,26548.45148,42.230171,-71.530106
2021,Michigan,17447.51541,43.326618,-84.536095
2021,Minnesota,19561.24677,45.694454,-93.900192
2021,Mississippi,15827.77952,32.741646,-89.678696
2021,Missouri,18058.71045,38.456085,-92.288368
2021,Montana,19128.5675,46.921925,-110.454353
2021,Nebraska,18472.58815,41.12537,-98.268082
2021,Nevada,26220.89191,38.313515,-117.055374
2021,New Hampshire,24939.77225,43.452492,-71.563896
2021,New Jersey,24726.01177,40.298904,-74.521011
2021,New Mexico,17769.44837,34.840515,-106.248482
2021,New York,25105.9816,42.165726,-74.948051
2021,North Carolina,17805.92334,35.630066,-79.806419
2021,North Dakota,19558.77119,47.528912,-99.784012
2021,Ohio,16858.78079,40.388783,-82.764915
2021,Oklahoma,17037.16619,35.565342,-96.928917
2021,Oregon,21457.83681,44.572021,-122.070938
2021,Pennsylvania,19715.95787,40.590752,-77.209755
2021,Rhode Island,25454.21077,41.680893,-71.51178
2021,South Carolina,19128.65421,33.856892,-80.945007
2021,South Dakota,16803.54634,44.299782,-99.438828
2021,Tennessee,17710.27048,35.747845,-86.692345
2021,Texas,19184.75993,31.054487,-97.563461
2021,Utah,17807.73947,40.150032,-111.862434
2021,Vermont,20765.30489,44.045876,-72.710686
2021,Virginia,20475.2154,37.769337,-78.169968
2021,Washington,24349.66364,47.400902,-121.490494
2021,West Virginia,17400.82054,38.491226,-80.954454
2021,Wisconsin,18537.80394,44.268543,-89.616508
2021,Wyoming,19330.61612,42.755966,-107.30249
2021,Puerto Rico,14355.86714,18.220833,-66.590149
2020,Alabama,15319.99432,32.806671,-86.79113
2020,Alaska,21693.50805,61.370716,-152.404419
2020,Arizona,19044.53779,33.729759,-111.431221
2020,Arkansas,15388.08949,34.969704,-92.373123
2020,California,23581.41213,36.116203,-119.681564
2020,Colorado,21421.95326,39.059811,-105.311104
2020,Connecticut,25542.73552,41.597782,-72.755371
2020,Delaware,19386.78029,39.318523,-75.507141
2020,District of Columbia,25822.69554,38.907192,-77.036871
2020,Florida,20614.18967,27.766279,-81.686783
2020,Georgia,16901.08597,33.040619,-83.643074
2020,Hawaii,27919.74398,21.094318,-157.498337
2020,Idaho,15828.05502,44.240459,-114.478828
2020,Illinois,19448.69995,40.349457,-88.986137
2020,Indiana,14919.37225,39.849426,-86.258278
2020,Iowa,17721.55565,42.011539,-93.210526
2020,Kansas,16424.62612,38.5266,-96.726486
2020,Kentucky,16221.58566,37.66814,-84.670067
2020,Louisiana,17214.71087,31.169546,-91.867805
2020,Maine,18233.63663,44.693947,-69.381927
2020,Maryland,21776.84946,39.063946,-76.802101
2020,Massachusetts,24966.09808,42.230171,-71.530106
2020,Michigan,16488.12564,43.326618,-84.536095
2020,Minnesota,18939.87568,45.694454,-93.900192
2020,Mississippi,15068.38599,32.741646,-89.678696
2020,Missouri,17070.85201,38.456085,-92.288368
2020,Montana,17818.44826,46.921925,-110.454353
2020,Nebraska,17394.33395,41.12537,-98.268082
2020,Nevada,26245.46584,38.313515,-117.055374
2020,New Hampshire,22111.50145,43.452492,-71.563896
2020,New Jersey,23837.85918,40.298904,-74.521011
2020,New Mexico,17227.53282,34.840515,-106.248482
2020,New York,23882.71569,42.165726,-74.948051
2020,North Carolina,17008.21054,35.630066,-79.806419
2020,North Dakota,19430.70245,47.528912,-99.784012
2020,Ohio,16220.67451,40.388783,-82.764915
2020,Oklahoma,16262.46181,35.565342,-96.928917
2020,Oregon,20134.92158,44.572021,-122.070938
2020,Pennsylvania,18766.97626,40.590752,-77.209755
2020,Rhode Island,24021.84425,41.680893,-71.51178
2020,South Carolina,18377.24542,33.856892,-80.945007
2020,South Dakota,16510.87316,44.299782,-99.438828
2020,Tennessee,17243.85937,35.747845,-86.692345
2020,Texas,18305.10989,31.054487,-97.563461
2020,Utah,16664.39844,40.150032,-111.862434
2020,Vermont,20393.83687,44.045876,-72.710686
2020,Virginia,19540.38121,37.769337,-78.169968
2020,Washington,22993.41747,47.400902,-121.490494
2020,West Virginia,16807.65144,38.491226,-80.954454
2020,Wisconsin,17225.94483,44.268543,-89.616508
2020,Wyoming,19259.89095,42.755966,-107.30249
2020,Puerto Rico,13169.20068,18.220833,-66.590149
2019,Alabama,14610.15723,32.806671,-86.79113
2019,Alaska,20519.37468,61.370716,-152.404419
2019,Arizona,18368.78716,33.729759,-111.431221
2019,Arkansas,14627.60579,34.969704,-92.373123
2019,California,22849.68101,36.116203,-119.681564
2019,Colorado,20296.6536,39.059811,-105.311104
2019,Connecticut,25932.35872,41.597782,-72.755371
2019,Delaware,18198.67306,39.318523,-75.507141
2019,District of Columbia,26898.58399,38.907192,-77.036871
2019,Florida,20400.68359,27.766279,-81.686783
2019,Georgia,16296.08491,33.040619,-83.643074
2019,Hawaii,27240.02973,21.094318,-157.498337
2019,Idaho,15443.99453,44.240459,-114.478828
2019,Illinois,19493.33875,40.349457,-88.986137
2019,Indiana,15770.42958,39.849426,-86.258278
2019,Iowa,17139.7432,42.011539,-93.210526
2019,Kansas,15919.02828,38.5266,-96.726486
2019,Kentucky,15174.60649,37.66814,-84.670067
2019,Louisiana,17095.49042,31.169546,-91.867805
2019,Maine,17434.87716,44.693947,-69.381927
2019,Maryland,21452.72,39.063946,-76.802101
2019,Massachusetts,24743.52737,42.230171,-71.530106
2019,Michigan,15883.52475,43.326618,-84.536095
2019,Minnesota,18714.85778,45.694454,-93.900192
2019,Mississippi,14961.04224,32.741646,-89.678696
2019,Missouri,16621.65913,38.456085,-92.288368
2019,Montana,17360.75171,46.921925,-110.454353
2019,Nebraska,16549.3136,41.12537,-98.268082
2019,Nevada,25898.99646,38.313515,-117.055374
2019,New Hampshire,21245.80621,43.452492,-71.563896
2019,New Jersey,22891.08532,40.298904,-74.521011
2019,New Mexico,17349.69383,34.840515,-106.248482
2019,New York,23246.00514,42.165726,-74.948051
2019,North Carolina,17104.69639,35.630066,-79.806419
2019,North Dakota,20029.6725,47.528912,-99.784012
2019,Ohio,15938.88588,40.388783,-82.764915
2019,Oklahoma,15682.73846,35.565342,-96.928917
2019,Oregon,19673.7043,44.572021,-122.070938
2019,Pennsylvania,18374.67506,40.590752,-77.209755
2019,Rhode Island,22996.87413,41.680893,-71.51178
2019,South Carolina,18083.83581,33.856892,-80.945007
2019,South Dakota,15791.91684,44.299782,-99.438828
2019,Tennessee,16922.73281,35.747845,-86.692345
2019,Texas,17952.6889,31.054487,-97.563461
2019,Utah,15612.39961,40.150032,-111.862434
2019,Vermont,21272.31549,44.045876,-72.710686
2019,Virginia,18987.05776,37.769337,-78.169968
2019,Washington,22031.95344,47.400902,-121.490494
2019,West Virginia,16106.31415,38.491226,-80.954454
2019,Wisconsin,17243.47524,44.268543,-89.616508
2019,Wyoming,17757.19611,42.755966,-107.30249
2019,Puerto Rico,12706.33588,18.220833,-66.590149
2018,Alabama,14138.66703,32.806671,-86.79113
2018,Alaska,20783.19352,61.370716,-152.404419
2018,Arizona,17731.86243,33.729759,-111.431221
2018,Arkansas,14385.3632,34.969704,-92.373123
2018,California,21833.88062,36.116203,-119.681564
2018,Colorado,19176.65238,39.059811,-105.311104
2018,Connecticut,24289.07654,41.597782,-72.755371
2018,Delaware,17472.09095,39.318523,-75.507141
2018,District of Columbia,25564.02697,38.907192,-77.036871
2018,Florida,19582.19429,27.766279,-81.686783
2018,Georgia,16051.63215,33.040619,-83.643074
2018,Hawaii,26273.39001,21.094318,-157.498337
2018,Idaho,14393.00344,44.240459,-114.478828
2018,Illinois,19199.41607,40.349457,-88.986137
2018,Indiana,15316.28109,39.849426,-86.258278
2018,Iowa,16343.7721,42.011539,-93.210526
2018,Kansas,15927.01723,38.5266,-96.726486
2018,Kentucky,14474.091,37.66814,-84.670067
2018,Louisiana,16767.82448,31.169546,-91.867805
2018,Maine,16496.77093,44.693947,-69.381927
2018,Maryland,20635.01704,39.063946,-76.802101
2018,Massachusetts,23438.49336,42.230171,-71.530106
2018,Michigan,15195.95562,43.326618,-84.536095
2018,Minnesota,17547.66179,45.694454,-93.900192
2018,Mississippi,14268.74045,32.741646,-89.678696
2018,Missouri,15704.4827,38.456085,-92.288368
2018,Montana,16269.10177,46.921925,-110.454353
2018,Nebraska,14679.20868,41.12537,-98.268082
2018,Nevada,25045.20754,38.313515,-117.055374
2018,New Hampshire,18692.0401,43.452492,-71.563896
2018,New Jersey,21851.41382,40.298904,-74.521011
2018,New Mexico,16497.14862,34.840515,-106.248482
2018,New York,22051.0142,42.165726,-74.948051
2018,North Carolina,16619.52709,35.630066,-79.806419
2018,North Dakota,20661.37617,47.528912,-99.784012
2018,Ohio,15269.50705,40.388783,-82.764915
2018,Oklahoma,16517.13432,35.565342,-96.928917
2018,Oregon,17742.0694,44.572021,-122.070938
2018,Pennsylvania,17371.15726,40.590752,-77.209755
2018,Rhode Island,20785.05752,41.680893,-71.51178
2018,South Carolina,16664.3747,33.856892,-80.945007
2018,South Dakota,15684.84808,44.299782,-99.438828
2018,Tennessee,16057.0862,35.747845,-86.692345
2018,Texas,17296.048,31.054487,-97.563461
2018,Utah,14940.39182,40.150032,-111.862434
2018,Vermont,20326.40377,44.045876,-72.710686
2018,Virginia,18493.15942,37.769337,-78.169968
2018,Washington,20625.62264,47.400902,-121.490494
2018,West Virginia,15495.62597,38.491226,-80.954454
2018,Wisconsin,16325.15299,44.268543,-89.616508
2018,Wyoming,18284.00463,42.755966,-107.30249
2018,Puerto Rico,12552.43063,18.220833,-66.590149
2017,Alabama,13922.34769,32.806671,-86.79113
2017,Alaska,20432.75194,61.370716,-152.404419
2017,Arizona,17079.15904,33.729759,-111.431221
2017,Arkansas,14121.0579,34.969704,-92.373123
2017,California,20476.91092,36.116203,-119.681564
2017,Colorado,18472.73212,39.059811,-105.311104
2017,Connecticut,23505.68138,41.597782,-72.755371
2017,Delaware,17013.85783,39.318523,-75.507141
2017,District of Columbia,24196.19339,38.907192,-77.036871
2017,Florida,18655.69509,27.766279,-81.686783
2017,Georgia,15262.70937,33.040619,-83.643074
2017,Hawaii,25683.46857,21.094318,-157.498337
2017,Idaho,14201.10343,44.240459,-114.478828
2017,Illinois,18355.77781,40.349457,-88.986137
2017,Indiana,14558.72003,39.849426,-86.258278
2017,Iowa,15913.97948,42.011539,-93.210526
2017,Kansas,15651.25078,38.5266,-96.726486
2017,Kentucky,14244.66394,37.66814,-84.670067
2017,Louisiana,15994.82339,31.169546,-91.867805
2017,Maine,15951.89103,44.693947,-69.381927
2017,Maryland,19333.99879,39.063946,-76.802101
2017,Massachusetts,22171.59624,42.230171,-71.530106
2017,Michigan,14578.96333,43.326618,-84.536095
2017,Minnesota,16468.46059,45.694454,-93.900192
2017,Mississippi,13764.5604,32.741646,-89.678696
2017,Missouri,14790.53946,38.456085,-92.288368
2017,Montana,15543.46982,46.921925,-110.454353
2017,Nebraska,13561.90934,41.12537,-98.268082
2017,Nevada,24207.62127,38.313515,-117.055374
2017,New Hampshire,17421.93832,43.452492,-71.563896
2017,New Jersey,21320.8316,40.298904,-74.521011
2017,New Mexico,16119.86281,34.840515,-106.248482
2017,New York,21280.11373,42.165726,-74.948051
2017,North Carolina,16090.7286,35.630066,-79.806419
2017,North Dakota,18327.33707,47.528912,-99.784012
2017,Ohio,14579.08926,40.388783,-82.764915
2017,Oklahoma,16119.87725,35.565342,-96.928917
2017,Oregon,17660.39468,44.572021,-122.070938
2017,Pennsylvania,16678.6045,40.590752,-77.209755
2017,Rhode Island,19478.92674,41.680893,-71.51178
2017,South Carolina,15791.12387,33.856892,-80.945007
2017,South Dakota,15572.53043,44.299782,-99.438828
2017,Tennessee,15291.5307,35.747845,-86.692345
2017,Texas,16568.25088,31.054487,-97.563461
2017,Utah,14494.43938,40.150032,-111.862434
2017,Vermont,21262.5472,44.045876,-72.710686
2017,Virginia,18295.25344,37.769337,-78.169968
2017,Washington,19650.80821,47.400902,-121.490494
2017,West Virginia,14708.50808,38.491226,-80.954454
2017,Wisconsin,15512.68977,44.268543,-89.616508
2017,Wyoming,17292.87806,42.755966,-107.30249
2017,Puerto Rico,12651.67991,18.220833,-66.590149
2016,Alabama,13482.17484,32.806671,-86.79113
2016,Alaska,17947.00607,61.370716,-152.404419
2016,Arizona,16789.89416,33.729759,-111.431221
2016,Arkansas,13821.02603,34.969704,-92.373123
2016,California,19647.51291,36.116203,-119.681564
2016,Colorado,17356.53417,39.059811,-105.311104
2016,Connecticut,22619.89214,41.597782,-72.755371
2016,Delaware,15898.51896,39.318523,-75.507141
2016,District of Columbia,22861.41159,38.907192,-77.036871
2016,Florida,18171.83631,27.766279,-81.686783
2016,Georgia,14931.27109,33.040619,-83.643074
2016,Hawaii,25279.37152,21.094318,-157.498337
2016,Idaho,13231.50127,44.240459,-114.478828
2016,Illinois,17455.54188,40.349457,-88.986137
2016,Indiana,14552.84811,39.849426,-86.258278
2016,Iowa,15204.35215,42.011539,-93.210526
2016,Kansas,14612.91988,38.5266,-96.726486
2016,Kentucky,13381.74608,37.66814,-84.670067
2016,Louisiana,15370.24156,31.169546,-91.867805
2016,Maine,15061.03231,44.693947,-69.381927
2016,Maryland,18507.20913,39.063946,-76.802101
2016,Massachusetts,21324.1238,42.230171,-71.530106
2016,Michigan,13885.70367,43.326618,-84.536095
2016,Minnesota,16390.95919,45.694454,-93.900192
2016,Mississippi,13572.16032,32.741646,-89.678696
2016,Missouri,13975.24348,38.456085,-92.288368
2016,Montana,15538.7148,46.921925,-110.454353
2016,Nebraska,13240.15263,41.12537,-98.268082
2016,Nevada,23627.77198,38.313515,-117.055374
2016,New Hampshire,16939.24669,43.452492,-71.563896
2016,New Jersey,20901.74222,40.298904,-74.521011
2016,New Mexico,15837.59213,34.840515,-106.248482
2016,New York,20636.67642,42.165726,-74.948051
2016,North Carolina,15265.5816,35.630066,-79.806419
2016,North Dakota,18272.40724,47.528912,-99.784012
2016,Ohio,14373.18868,40.388783,-82.764915
2016,Oklahoma,15842.4205,35.565342,-96.928917
2016,Oregon,17056.15892,44.572021,-122.070938
2016,Pennsylvania,16094.41228,40.590752,-77.209755
2016,Rhode Island,18321.02484,41.680893,-71.51178
2016,South Carolina,15029.59382,33.856892,-80.945007
2016,South Dakota,14193.28756,44.299782,-99.438828
2016,Tennessee,14645.9036,35.747845,-86.692345
2016,Texas,15925.92451,31.054487,-97.563461
2016,Utah,14188.89795,40.150032,-111.862434
2016,Vermont,19510.94708,44.045876,-72.710686
2016,Virginia,17328.74644,37.769337,-78.169968
2016,Washington,19015.32779,47.400902,-121.490494
2016,West Virginia,14180.34288,38.491226,-80.954454
2016,Wisconsin,14744.08542,44.268543,-89.616508
2016,Wyoming,15717.73225,42.755966,-107.30249
2016,Puerto Rico,12249.44665,18.220833,-66.590149
2015,Alabama,13653.25765,32.806671,-86.79113
2015,Alaska,17806.29965,61.370716,-152.404419
2015,Arizona,16289.63338,33.729759,-111.431221
2015,Arkansas,13572.48594,34.969704,-92.373123
2015,California,19070.16486,36.116203,-119.681564
2015,Colorado,16559.95292,39.059811,-105.311104
2015,Connecticut,22196.61633,41.597782,-72.755371
2015,Delaware,15813.82791,39.318523,-75.507141
2015,District of Columbia,21727.31518,38.907192,-77.036871
2015,Florida,17522.41687,27.766279,-81.686783
2015,Georgia,14849.35882,33.040619,-83.643074
2015,Hawaii,24899.90283,21.094318,-157.498337
2015,Idaho,12695.31278,44.240459,-114.478828
2015,Illinois,16961.31833,40.349457,-88.986137
2015,Indiana,14179.13001,39.849426,-86.258278
2015,Iowa,14206.40465,42.011539,-93.210526
2015,Kansas,13964.86808,38.5266,-96.726486
2015,Kentucky,12993.14589,37.66814,-84.670067
2015,Louisiana,15202.21342,31.169546,-91.867805
2015,Maine,15246.33956,44.693947,-69.381927
2015,Maryland,17776.39595,39.063946,-76.802101
2015,Massachusetts,20512.48361,42.230171,-71.530106
2015,Michigan,13526.36843,43.326618,-84.536095
2015,Minnesota,15809.83099,45.694454,-93.900192
2015,Mississippi,13385.51511,32.741646,-89.678696
2015,Missouri,13455.47417,38.456085,-92.288368
2015,Montana,14993.90933,46.921925,-110.454353
2015,Nebraska,13098.05879,41.12537,-98.268082
2015,Nevada,23125.0936,38.313515,-117.055374
2015,New Hampshire,17411.11408,43.452492,-71.563896
2015,New Jersey,20753.91507,40.298904,-74.521011
2015,New Mexico,14866.94173,34.840515,-106.248482
2015,New York,20256.10769,42.165726,-74.948051
2015,North Carolina,14830.71905,35.630066,-79.806419
2015,North Dakota,17366.59389,47.528912,-99.784012
2015,Ohio,14103.12886,40.388783,-82.764915
2015,Oklahoma,15038.56996,35.565342,-96.928917
2015,Oregon,16480.65737,44.572021,-122.070938
2015,Pennsylvania,15470.49029,40.590752,-77.209755
2015,Rhode Island,17886.80146,41.680893,-71.51178
2015,South Carolina,14830.61269,33.856892,-80.945007
2015,South Dakota,13079.97832,44.299782,-99.438828
2015,Tennessee,14019.38995,35.747845,-86.692345
2015,Texas,15644.75111,31.054487,-97.563461
2015,Utah,14194.77507,40.150032,-111.862434
2015,Vermont,19681.36278,44.045876,-72.710686
2015,Virginia,17012.09069,37.769337,-78.169968
2015,Washington,18565.63512,47.400902,-121.490494
2015,West Virginia,13967.93987,38.491226,-80.954454
2015,Wisconsin,14532.0412,44.268543,-89.616508
2015,Wyoming,14928.94724,42.755966,-107.30249
2015,Puerto Rico,12445.54273,18.220833,-66.590149
2014,Alabama,13821.56497,32.806671,-86.79113
2014,Alaska,20029.51084,61.370716,-152.404419
2014,Arizona,16866.5724,33.729759,-111.431221
2014,Arkansas,13787.70433,34.969704,-92.373123
2014,California,19075.84102,36.116203,-119.681564
2014,Colorado,16810.64978,39.059811,-105.311104
2014,Connecticut,21829.32524,41.597782,-72.755371
2014,Delaware,16307.84613,39.318523,-75.507141
2014,District of Columbia,20353.18702,38.907192,-77.036871
2014,Florida,17731.35897,27.766279,-81.686783
2014,Georgia,14897.86384,33.040619,-83.643074
2014,Hawaii,24958.7145,21.094318,-157.498337
2014,Idaho,12459.85966,44.240459,-114.478828
2014,Illinois,16731.05099,40.349457,-88.986137
2014,Indiana,13251.16737,39.849426,-86.258278
2014,Iowa,13690.47139,42.011539,-93.210526
2014,Kansas,14146.88748,38.5266,-96.726486
2014,Kentucky,12984.85287,37.66814,-84.670067
2014,Louisiana,16246.03263,31.169546,-91.867805
2014,Maine,14910.57681,44.693947,-69.381927
2014,Maryland,18551.74145,39.063946,-76.802101
2014,Massachusetts,20107.66873,42.230171,-71.530106
2014,Michigan,13518.98625,43.326618,-84.536095
2014,Minnesota,15322.54467,45.694454,-93.900192
2014,Mississippi,13401.1509,32.741646,-89.678696
2014,Missouri,13372.1019,38.456085,-92.288368
2014,Montana,14662.60069,46.921925,-110.454353
2014,Nebraska,12958.99791,41.12537,-98.268082
2014,Nevada,23223.43424,38.313515,-117.055374
2014,New Hampshire,17678.76938,43.452492,-71.563896
2014,New Jersey,21229.54404,40.298904,-74.521011
2014,New Mexico,14243.36282,34.840515,-106.248482
2014,New York,20532.16741,42.165726,-74.948051
2014,North Carolina,14557.00423,35.630066,-79.806419
2014,North Dakota,16468.05096,47.528912,-99.784012
2014,Ohio,13872.09189,40.388783,-82.764915
2014,Oklahoma,14559.49111,35.565342,-96.928917
2014,Oregon,16710.92187,44.572021,-122.070938
2014,Pennsylvania,15523.28466,40.590752,-77.209755
2014,Rhode Island,18054.25596,41.680893,-71.51178
2014,South Carolina,14544.52481,33.856892,-80.945007
2014,South Dakota,13794.7748,44.299782,-99.438828
2014,Tennessee,13985.93607,35.747845,-86.692345
2014,Texas,15473.04002,31.054487,-97.563461
2014,Utah,14241.25735,40.150032,-111.862434
2014,Vermont,19521.33738,44.045876,-72.710686
2014,Virginia,16946.38796,37.769337,-78.169968
2014,Washington,18673.66029,47.400902,-121.490494
2014,West Virginia,14613.18711,38.491226,-80.954454
2014,Wisconsin,14205.46164,44.268543,-89.616508
2014,Wyoming,14853.22386,42.755966,-107.30249
2014,Puerto Rico,12672.56674,18.220833,-66.590149
